streets,zipcodes
greenwich st,10013
Queens Boulevard,11375
main st,11201
Southern Boulevard,10459
St. Anns Avenue,10455
richmond,10314
rosedale ave,10473
West 125th Street,10027
West 135th Street,10030
West 145th Street,10031
West 155th Street,10032
West 167th Street,10452
West 30th Street,10001
West 34th Street,10001
West 39th Street,10018
West 48th Street,10036
West 53rd Street,10019
West 55th Street,10019
West 56th Street,10019
West 57th Street,10019
West 49th Street,10019
